date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:38:23	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%227b38a2d0cd705066e9e7c9be8720c5ea%22	https://static-2v.gitbook.com/_next/static/chunks/polyfills-42372ed130431b0a.js	E:/others/websites/learn.doubleclick.io/learn.doubletick.io/static-2v.gitbook.com/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://learn.doubletick.io/)
15:38:24	4968/4968	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20Mar%202024%2012:01:05%20GMT	https://learn.doubletick.io/~gitbook/image?url=https%3A%2F%2F2303112206-files.gitbook.io%2F%7E%2Ffiles%2Fv0%2Fb%2Fgitbook-x-prod.appspot.com%2Fo%2Fspaces%252F53n17VnOICC1LtDqlENV%252Ficon%252F7nddyD9AdBoiPPLCLBkp%252Fdt%2520logo.png%3Falt%3Dmedia%26token%3D3920336c-6b77-49a8-9326-7af71901418a&width=32&dpr=4&quality=100&sign=3a4120e2&sv=2	E:/others/websites/learn.doubleclick.io/learn.doubletick.io/learn.doubletick.io/_gitbook/image486e.jpg	(from https://learn.doubletick.io/)
15:38:25	422408/422408	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Nov%202025%2010:08:25%20GMT	https://learn.doubletick.io/get-started-with-jugaadx/pre-requisites-for-onboarding	E:/others/websites/learn.doubleclick.io/learn.doubletick.io/learn.doubletick.io/get-started-with-jugaadx/pre-requisites-for-onboarding.html	(from https://learn.doubletick.io/)
15:38:26	405821/405821	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Nov%202025%2010:08:25%20GMT	https://learn.doubletick.io/get-started-with-jugaadx/display-name-approval	E:/others/websites/learn.doubleclick.io/learn.doubletick.io/learn.doubletick.io/get-started-with-jugaadx/display-name-approval.html	(from https://learn.doubletick.io/)
15:38:27	536751/536751	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Nov%202025%2010:08:26%20GMT	https://learn.doubletick.io/get-started-with-jugaadx/how-to-do-meta-facebook-business-verification	E:/others/websites/learn.doubleclick.io/learn.doubletick.io/learn.doubletick.io/get-started-with-jugaadx/how-to-do-meta-facebook-business-verification.html	(from https://learn.doubletick.io/)
15:38:28	432482/432482	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Nov%202025%2010:08:27%20GMT	https://learn.doubletick.io/get-started-with-jugaadx/doubletick-onboarding	E:/others/websites/learn.doubleclick.io/learn.doubletick.io/learn.doubletick.io/get-started-with-jugaadx/jugaadx-onboarding.html	(from https://learn.doubletick.io/)
15:38:29	472164/472164	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Nov%202025%2010:08:28%20GMT	https://learn.doubletick.io/chat-management/start-a-new-chat-with-customers	E:/others/websites/learn.doubleclick.io/learn.doubletick.io/learn.doubletick.io/chat-management/start-a-new-chat-with-customers.html	(from https://learn.doubletick.io/)
15:38:30	483335/483335	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Nov%202025%2010:08:29%20GMT	https://learn.doubletick.io/chat-management/manage-customer-conversation-on-chat-inbox	E:/others/websites/learn.doubleclick.io/learn.doubletick.io/learn.doubletick.io/chat-management/manage-customer-conversation-on-chat-inbox.html	(from https://learn.doubletick.io/)
15:38:31	453289/453289	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Nov%202025%2010:08:30%20GMT	https://learn.doubletick.io/chat-management/how-to-use-customer-notes	E:/others/websites/learn.doubleclick.io/learn.doubletick.io/learn.doubletick.io/chat-management/how-to-use-customer-notes.html	(from https://learn.doubletick.io/)
15:38:32	620060/620060	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Nov%202025%2010:08:31%20GMT	https://learn.doubletick.io/chat-management/how-to-use-tags	E:/others/websites/learn.doubleclick.io/learn.doubletick.io/learn.doubletick.io/chat-management/how-to-use-tags.html	(from https://learn.doubletick.io/)
